game_id,Week,Day,Date,Year,Month,Day,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,loser_is_home,start_latlong,end_latlong,start_lat,start_long,end_lat,end_long,Home,Away,Stadium,Dome,Grass,HOME_day_since_last_game,AWAY_day_since_last_game,Distance
2019_03_TEN_JAX,3,Thu,43727,2019,September,19,8:20PM,Jacksonville Jaguars,Tennessee Titans,20,7,292,0,340,1,FALSE,"36.199207,-86.80447","30.323721,-81.635996",36.199207,-86.80447,30.323721,-81.635996,Jacksonville Jaguars,Tennessee Titans,TIAA Bank Field,No,Bermuda Grass,4,4,503.7540654
2019_03_ATL_IND,3,Sun,43730,2019,September,22,1:00PM,Indianapolis Colts,Atlanta Falcons,27,24,379,0,397,1,FALSE,"33.755141,-84.401023","39.725523,-86.269762",33.755141,-84.401023,39.725523,-86.269762,Indianapolis Colts,Atlanta Falcons,Lucas Oil Stadium,Retractable,Shaw Sports Momentum Pro,7,7,425.2609439
2019_03_CIN_BUF,3,Sun,43730,2019,September,22,1:00PM,Buffalo Bills,Cincinnati Bengals,21,17,416,2,306,4,FALSE,"39.096375,-84.516402","42.773773,-78.787460",39.096375,-84.516402,42.773773,-78.78746,Buffalo Bills,Cincinnati Bengals,Bills Stadium,No,A-Turf Titan,7,7,392.2327939
2019_03_MIA_DAL,3,Sun,43730,2019,September,22,1:00PM,Dallas Cowboys,Miami Dolphins,31,6,476,1,283,1,FALSE,"25.957866,-80.23877","32.904895,-97.035901",25.957866,-80.23877,32.904895,-97.035901,Dallas Cowboys,Miami Dolphins,AT&T Stadium,Retractable,Hellas Matrix Turf,7,7,1117.07829
2019_03_DEN_GB,3,Sun,43730,2019,September,22,1:00PM,Green Bay Packers,Denver Broncos,27,16,312,0,310,3,FALSE,"39.579126,-104.830049","44.501135,-88.062284",39.579126,-104.830049,44.501135,-88.062284,Green Bay Packers,Denver Broncos,Lambeau Field,No,Desso GrassMaster,7,7,923.0556993
2019_03_DET_PHI,3,Sun,43730,2019,September,22,1:00PM,Detroit Lions,Philadelphia Eagles,27,24,287,0,373,2,TRUE,"42.339997,-83.045509","39.907366,-75.178274",42.339997,-83.045509,39.907366,-75.178274,Philadelphia Eagles,Detroit Lions, Lincoln Financial Field,No,Desso GrassMaster,7,7,442.4009056
2019_03_BAL_KC,3,Sun,43730,2019,September,22,1:00PM,Kansas City Chiefs,Baltimore Ravens,33,28,503,0,452,0,FALSE,"39.397151,-76.835177","39.048172,-94.483084",39.397151,-76.835177,39.048172,-94.483084,Kansas City Chiefs,Baltimore Ravens,Arrowhead Stadium,No,Bermuda Grass,7,7,943.4282505
2019_03_OAK_MIN,3,Sun,43730,2019,September,22,1:00PM,Minnesota Vikings,Oakland Raiders,34,14,385,0,302,1,FALSE,"37.751605,-122.200485","44.974552,-93.25975",37.751605,-122.200485,44.974552,-93.25975,Minnesota Vikings,Oakland Raiders,U.S. Bank Stadium,Closed,UBU Speed Series S5-M (turf),7,7,1571.73228
2019_03_NYJ_NE,3,Sun,43730,2019,September,22,1:00PM,New England Patriots,New York Jets,30,14,381,2,105,1,FALSE,"40.813677,-74.082884","42.090936,-71.264362",40.813677,-74.082884,42.090936,-71.264362,New England Patriots,New York Jets,Gillette Stadium,No,FieldTurf CORE,7,6,170.5505407
2019_03_CAR_ARI,3,Sun,43730,2019,September,22,4:05PM,Carolina Panthers,Arizona Cardinals,38,20,413,1,248,2,TRUE,"35.225647,-80.851339","33.5276,-112.2626",35.225647,-80.851339,33.5276,-112.2626,Arizona Cardinals,Carolina Panthers,State Farm Stadium,Retractable,Bermuda Grass,7,10,1787.654186
2019_03_NYG_TB,3,Sun,43730,2019,September,22,4:05PM,New York Giants,Tampa Bay Buccaneers,32,31,384,2,499,1,TRUE,"40.813677,-74.082884","27.979836,-82.49501",40.813677,-74.082884,27.979836,-82.49501,Tampa Bay Buccaneers,New York Giants,Raymond James Stadium,No,Bermuda Grass,10,7,1006.901317
2019_03_HOU_LAC,3,Sun,43730,2019,September,22,4:25PM,Houston Texans,Los Angeles Chargers,27,20,376,1,366,1,TRUE,"29.684873,-95.410645","33.864219,-118.260995",29.684873,-95.410645,33.864219,-118.260995,Los Angeles Chargers,Houston Texans,SoFi Stadium,Closed,Hellas Matrix Turf,7,7,1369.830703
2019_03_NO_SF,3,Sun,43730,2019,September,22,4:25PM,New Orleans Saints,Seattle Seahawks,33,27,265,1,514,1,TRUE,"29.951439,-90.081970","47.593177,-122.331764",29.951439,-90.08197,47.593177,-122.331764,Seattle Seahawks,New Orleans Saints,CenturyLink Field,No,FieldTurf Revolution 360,7,7,2097.98999
