game_id,num_plays
2020_05_IND_CLE,172
2020_05_JAX_HOU,175
2020_05_LAR_WAS,165
2020_05_LAC_NO,203
2020_05_LV_KC,193
2020_05_MIA_SF,178
2020_05_MIN_SEA,183
2020_05_NYG_DAL,183
2020_05_PHI_PIT,180
2020_05_TB_CHI,194
2020_06_ARI_DAL,193
2020_06_ATL_MIN,178
2020_06_BAL_PHI,196
2020_06_CHI_CAR,183
2020_06_CIN_IND,180
2020_06_CLE_PIT,163
2020_06_DEN_NE,159
2020_06_DET_JAX,183
2020_06_GB_TB,169
2020_06_HOU_TEN,195
2020_06_KC_BUF,168
2020_06_LAR_SF,180
2020_06_NYJ_MIA,171
2020_06_WAS_NYG,159
2020_07_BUF_NYJ,173
2020_07_CAR_NO,153
2020_07_CHI_LAR,179
2020_07_CLE_CIN,178
2020_07_DAL_WAS,160
2020_07_DET_ATL,178
2020_07_GB_HOU,175
2020_07_JAX_LAC,186
2020_07_KC_DEN,171
2020_07_NYG_PHI,184
2020_07_PIT_TEN,181
2020_07_SEA_ARI,234
2020_07_SF_NE,153
2020_07_TB_LV,182
2020_08_ATL_CAR,165
2020_08_DAL_PHI,181
2020_08_IND_DET,184
2020_08_LAR_MIA,197
2020_08_LAC_DEN,201
2020_08_LV_CLE,168
2020_08_MIN_GB,165
2020_08_NE_BUF,169
2020_08_NO_CHI,217
2020_08_NYJ_KC,167
2020_08_PIT_BAL,179
2020_08_SF_SEA,185
2020_08_TB_NYG,190
2020_08_TEN_CIN,181
2020_09_BAL_IND,174
2020_09_CAR_KC,194
2020_09_CHI_TEN,182
2020_09_DEN_ATL,193
2020_09_DET_MIN,177
2020_09_GB_SF,167
2020_09_HOU_JAX,180
2020_09_LV_LAC,177
2020_09_MIA_ARI,194
2020_09_NE_NYJ,169
2020_09_NO_TB,159
2020_09_NYG_WAS,173
2020_09_PIT_DAL,185
2020_09_SEA_BUF,188
2020_10_BAL_NE,166
2020_10_BUF_ARI,213
2020_10_CIN_PIT,191
2020_10_DEN_LV,188
2020_10_HOU_CLE,166
2020_10_IND_TEN,173
2020_10_JAX_GB,176
2020_10_LAC_MIA,171
2020_10_MIN_CHI,175
2020_10_PHI_NYG,184
2020_10_SEA_LAR,181
2020_10_SF_NO,176
2020_10_TB_CAR,175
2020_10_WAS_DET,195
2020_11_ARI_SEA,179
2020_11_ATL_NO,176
2020_11_CIN_WAS,176
2020_11_DAL_MIN,172
2020_11_DET_CAR,168
2020_11_GB_IND,194
2020_11_KC_LV,183
2020_11_LAR_TB,190
2020_11_MIA_DEN,172
2020_11_NE_HOU,172
2020_11_NYJ_LAC,194
2020_11_PHI_CLE,191
2020_11_PIT_JAX,178
2020_11_TEN_BAL,178
2020_12_ARI_NE,169
2020_12_BAL_PIT,167
2020_12_CAR_MIN,191
2020_12_CHI_GB,182
2020_12_CLE_JAX,175
2020_12_HOU_DET,182
2020_12_KC_TB,184
2020_12_LAC_BUF,188
2020_12_LV_ATL,189
2020_12_MIA_NYJ,161
2020_12_NO_DEN,150
2020_12_NYG_CIN,174
2020_12_SEA_PHI,182
2020_12_SF_LAR,190
2020_12_TEN_IND,195
2020_12_WAS_DAL,172
2020_13_BUF_SF,183
2020_13_CIN_MIA,165
2020_13_CLE_TEN,195
2020_13_DAL_BAL,181
2020_13_DEN_KC,171
2020_13_DET_CHI,201
2020_13_IND_HOU,180
2020_13_JAX_MIN,224
2020_13_LAR_ARI,210
2020_13_LV_NYJ,183
2020_13_NE_LAC,180
2020_13_NO_ATL,191
2020_13_NYG_SEA,173
2020_13_PHI_GB,165
2020_13_WAS_PIT,194
2020_14_ARI_NYG,178
2020_14_ATL_LAC,168
2020_14_BAL_CLE,204
2020_14_DAL_CIN,161
2020_14_DEN_CAR,173
2020_14_GB_DET,180
2020_14_HOU_CHI,185
2020_14_IND_LV,176
2020_14_KC_MIA,196
2020_14_MIN_TB,170
2020_14_NE_LAR,165
2020_14_NO_PHI,181
2020_14_NYJ_SEA,168
2020_14_PIT_BUF,174
2020_14_TEN_JAX,176
2020_14_WAS_SF,209
2020_15_BUF_DEN,185
2020_15_CAR_GB,173
2020_15_CHI_MIN,178
2020_15_CLE_NYG,152
2020_15_DET_TEN,176
2020_15_HOU_IND,163
2020_15_JAX_BAL,163
2020_15_KC_NO,200
2020_15_LAC_LV,189
2020_15_NE_MIA,165
2020_15_NYJ_LAR,171
2020_15_PHI_ARI,217
2020_15_PIT_CIN,171
2020_15_SEA_WAS,179
2020_15_SF_DAL,196
2020_15_TB_ATL,179
2020_16_ATL_KC,172
2020_16_BUF_NE,162
2020_16_CAR_WAS,175
2020_16_CHI_JAX,174
2020_16_CIN_HOU,175
2020_16_CLE_NYJ,200
2020_16_DEN_LAC,182
2020_16_IND_PIT,182
2020_16_LAR_SEA,184
2020_16_MIA_LV,180
2020_16_MIN_NO,188
2020_16_NYG_BAL,175
2020_16_PHI_DAL,200
2020_16_SF_ARI,194
2020_16_TB_DET,178
2020_16_TEN_GB,155
2020_17_ARI_LAR,171
2020_17_ATL_TB,181
2020_17_BAL_CIN,153
2020_17_DAL_NYG,191
2020_17_GB_CHI,169
2020_17_JAX_IND,172
2020_17_LAC_KC,156
2020_17_LV_DEN,206
2020_17_MIA_BUF,198
2020_17_MIN_DET,185
2020_17_NO_CAR,163
2020_17_NYJ_NE,168
2020_17_PIT_CLE,186
2020_17_SEA_SF,192
2020_17_TEN_HOU,186
2020_17_WAS_PHI,174
2020_18_BAL_TEN,154
2020_18_CHI_NO,173
2020_18_CLE_PIT,208
2020_18_IND_BUF,178
2020_18_LAR_SEA,189
2020_18_TB_WAS,190
2020_19_BAL_BUF,176
2020_19_CLE_KC,166
2020_19_LAR_GB,167
2020_19_TB_NO,179
2020_20_BUF_KC,182
2020_20_TB_GB,179
2020_21_KC_TB,184
2021_01_ARI_TEN,182
2021_01_BAL_LV,213
2021_01_CHI_LAR,155
2021_01_CLE_KC,165
2021_01_DAL_TB,203
2021_01_DEN_NYG,159
2021_01_GB_NO,156
2021_01_JAX_HOU,206
2021_01_LAC_WAS,178
2021_01_MIA_NE,164
2021_01_MIN_CIN,212
2021_01_NYJ_CAR,175
2021_01_PHI_ATL,191
2021_01_PIT_BUF,189
2021_01_SEA_IND,169
2021_01_SF_DET,194
2021_02_ATL_TB,182
2021_02_BUF_MIA,180
2021_02_CIN_CHI,172
2021_02_DAL_LAC,172
2021_02_DEN_JAX,174
2021_02_DET_GB,164
2021_02_HOU_CLE,163
2021_02_KC_BAL,171
2021_02_LAR_IND,168
2021_02_LV_PIT,170
2021_02_MIN_ARI,191
2021_02_NE_NYJ,171
2021_02_NO_CAR,168
2021_02_NYG_WAS,201
2021_02_SF_PHI,164
2021_02_TEN_SEA,199
2021_03_ARI_JAX,183
2021_03_ATL_NYG,171
2021_03_BAL_DET,166
2021_03_CAR_HOU,170
2021_03_CHI_CLE,182
2021_03_CIN_PIT,177
2021_03_GB_SF,185
2021_03_IND_TEN,167
2021_03_LAC_KC,187
2021_03_MIA_LV,227
2021_03_NO_NE,183
2021_03_NYJ_DEN,160
2021_03_PHI_DAL,176
2021_03_SEA_MIN,169
2021_03_TB_LAR,186
2021_03_WAS_BUF,176
2021_04_ARI_LAR,192
2021_04_BAL_DEN,181
2021_04_CAR_DAL,178
2021_04_CLE_MIN,189
2021_04_DET_CHI,177
2021_04_HOU_BUF,157
2021_04_IND_MIA,170
2021_04_JAX_CIN,157
2021_04_KC_PHI,187
2021_04_LV_LAC,182
2021_04_NYG_NO,175
2021_04_PIT_GB,174
2021_04_SEA_SF,180
2021_04_TB_NE,183
2021_04_TEN_NYJ,220
2021_04_WAS_ATL,190
2021_05_BUF_KC,193
2021_05_CHI_LV,174
2021_05_CLE_LAC,197
2021_05_DEN_PIT,172
2021_05_DET_MIN,177
2021_05_GB_CIN,182
2021_05_IND_BAL,186
2021_05_LAR_SEA,180
2021_05_MIA_TB,171
2021_05_NE_HOU,169
2021_05_NO_WAS,187
2021_05_NYG_DAL,192
2021_05_NYJ_ATL,174
2021_05_PHI_CAR,187
2021_05_SF_ARI,162
2021_05_TEN_JAX,180
2021_06_ARI_CLE,182
2021_06_BUF_TEN,174
2021_06_CIN_DET,181
2021_06_DAL_NE,193
2021_06_GB_CHI,171
2021_06_HOU_IND,162
2021_06_KC_WAS,180
2021_06_LAR_NYG,188
2021_06_LAC_BAL,158
2021_06_LV_DEN,181
2021_06_MIA_JAX,187
2021_06_MIN_CAR,221
2021_06_SEA_PIT,194
2021_06_TB_PHI,167
2021_07_ATL_MIA,181
2021_07_CAR_NYG,175
2021_07_CHI_TB,177
2021_07_CIN_BAL,184
2021_07_DEN_CLE,170
2021_07_DET_LAR,178
2021_07_HOU_ARI,167
2021_07_IND_SF,168
2021_07_KC_TEN,177
2021_07_NO_SEA,175
2021_07_NYJ_NE,182
2021_07_PHI_LV,177
2021_07_WAS_GB,162
2021_08_CAR_ATL,173
2021_08_CIN_NYJ,189
2021_08_DAL_MIN,187
2021_08_GB_ARI,174
2021_08_JAX_SEA,174
2021_08_LAR_HOU,178
2021_08_MIA_BUF,187
2021_08_NE_LAC,183
2021_08_NYG_KC,183
2021_08_PHI_DET,167
2021_08_PIT_CLE,186
2021_08_SF_CHI,181
2021_08_TB_NO,183
2021_08_TEN_IND,206
2021_08_WAS_DEN,159
2021_09_ARI_SF,172
2021_09_ATL_NO,182
2021_09_BUF_JAX,172
2021_09_CHI_PIT,189
2021_09_CLE_CIN,169
2021_09_DEN_DAL,178
2021_09_GB_KC,169
2021_09_HOU_MIA,185
2021_09_LAC_PHI,169
2021_09_LV_NYG,167
2021_09_MIN_BAL,210
2021_09_NE_CAR,162
2021_09_NYJ_IND,183
2021_09_TEN_LAR,183
2021_10_ATL_DAL,171
2021_10_BAL_MIA,195
2021_10_BUF_NYJ,176
2021_10_CAR_ARI,171
2021_10_CLE_NE,163
2021_10_DET_PIT,215
2021_10_JAX_IND,182
2021_10_KC_LV,176
2021_10_LAR_SF,163
2021_10_MIN_LAC,182
2021_10_NO_TEN,179
2021_10_PHI_DEN,166
2021_10_SEA_GB,169
2021_10_TB_WAS,166
2021_11_ARI_SEA,178
2021_11_BAL_CHI,199
2021_11_CIN_LV,165
2021_11_DAL_KC,178
2021_11_DET_CLE,163
2021_11_GB_MIN,172
2021_11_HOU_TEN,189
2021_11_IND_BUF,166
2021_11_MIA_NYJ,179
2021_11_NE_ATL,158
2021_11_NO_PHI,199
2021_11_NYG_TB,175
2021_11_PIT_LAC,196
2021_11_SF_JAX,153
2021_11_WAS_CAR,165
2021_12_ATL_JAX,177
2021_12_BUF_NO,160
2021_12_CAR_MIA,177
2021_12_CHI_DET,163
2021_12_CLE_BAL,180
2021_12_LAR_GB,199
2021_12_LAC_DEN,170
2021_12_LV_DAL,224
2021_12_MIN_SF,168
2021_12_NYJ_HOU,168
2021_12_PHI_NYG,163
2021_12_PIT_CIN,169
2021_12_SEA_WAS,175
2021_12_TB_IND,184
2021_12_TEN_NE,165
2021_13_ARI_CHI,189
2021_13_BAL_PIT,182
2021_13_DAL_NO,187
2021_13_DEN_KC,169
2021_13_IND_HOU,165
2021_13_JAX_LAR,167
2021_13_LAC_CIN,188
2021_13_MIN_DET,197
2021_13_NE_BUF,152
2021_13_NYG_MIA,181
2021_13_PHI_NYJ,171
2021_13_SF_SEA,178
2021_13_TB_ATL,186
2021_13_WAS_LV,165
2021_14_ATL_CAR,172
2021_14_BAL_CLE,196
2021_14_BUF_TB,215
2021_14_CHI_GB,181
2021_14_DAL_WAS,200
2021_14_DET_DEN,169
2021_14_JAX_TEN,162
2021_14_LAR_ARI,186
2021_14_LV_KC,167
2021_14_NO_NYJ,182
2021_14_NYG_LAC,188
2021_14_PIT_MIN,196
2021_14_SEA_HOU,191
2021_14_SF_CIN,196
2021_15_ARI_DET,184
2021_15_ATL_SF,160
2021_15_CAR_BUF,189
2021_15_CIN_DEN,174
2021_15_DAL_NYG,179
2021_15_GB_BAL,177
2021_15_HOU_JAX,180
2021_15_KC_LAC,187
2021_15_LV_CLE,184
2021_15_MIN_CHI,191
2021_15_NE_IND,164
2021_15_NO_TB,179
2021_15_NYJ_MIA,175
2021_15_SEA_LAR,165
2021_15_TEN_PIT,177
2021_15_WAS_PHI,168
2021_16_BAL_CIN,178
2021_16_BUF_NE,181
2021_16_CHI_SEA,172
2021_16_CLE_GB,164
2021_16_DEN_LV,144
2021_16_DET_ATL,156
2021_16_IND_ARI,179
2021_16_JAX_NYJ,175
2021_16_LAR_MIN,181
2021_16_LAC_HOU,172
2021_16_MIA_NO,160
2021_16_NYG_PHI,191
2021_16_PIT_KC,185
2021_16_SF_TEN,161
2021_16_TB_CAR,186
2021_16_WAS_DAL,175
2021_17_ARI_DAL,187
2021_17_ATL_BUF,166
2021_17_CAR_NO,163
2021_17_CLE_PIT,203
2021_17_DEN_LAC,166
