game_id,home_team,away_team,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,qtr,down,time,yrdln,ydstogo,desc,injured_player,injured_team,Contact/ non-contact,injury area,player role
2020_04_PHI_SF,SF,PHI,REG,4,SF,home,PHI,PHI,38,44108,31,931,2731,Half1,1,3,0.021527778,PHI 38,7,"(:31) (Shotgun) 11-B.Aiyuk right end for 38 yards, TOUCHDOWN. PHI-24-D.Slay was injured during the play. #11 B.Aiyuk took a backward pass from N.Mullens",D.Slay,PHI-24,contact,lower body,run defender
2020_04_PHI_SF,SF,PHI,REG,4,PHI,away,SF,PHI,84,44108,736,736,736,Half2,4,2,0.511111111,PHI 16,5,(12:16) 26-M.Sanders right end to PHI 13 for -3 yards (90-K.Givens). SF-24-K.Williams was injured during the play.,K.Williams,SF-24,contact,lower body,tackler
2020_04_PHI_SF,SF,PHI,REG,4,SF,home,PHI,SF,75,44108,55,955,955,Half2,3,1,0.038194444,SF 25,10,(:55) 30-J.Wilson right guard to SF 26 for 1 yard (94-J.Sweat). PHI-91-F.Cox was injured during the play.,F.Cox,PHI-91,non contact,lower body,AFP
2020_04_SEA_MIA,MIA,SEA,REG,4,SEA,away,MIA,MIA,25,44108,381,381,2181,Half1,2,1,0.264583333,MIA 25,10,"(6:21) 32-C.Carson right end to MIA 25 for no gain (44-E.Roberts, 91-E.Ogbah). FUMBLES (44-E.Roberts), recovered by SEA-77-E.Pocic at MIA 24. SEA-32-C.Carson was injured during the play. His return is Probable.",C.Carson,SEA-32,contact,head,ball carrier
2020_04_SEA_MIA,MIA,SEA,REG,4,SEA,away,MIA,SEA,61,44108,169,1069,1069,Half2,3,2,0.117361111,SEA 39,14,(2:49) (Shotgun) 3-R.Wilson sacked at SEA 29 for -10 yards (90-S.Lawson). MIA-90-S.Lawson was injured during the play. His return is Questionable.,S.Lawson,MIA-90,contact,upper bodt,tackler
2020_04_SEA_MIA,MIA,SEA,REG,4,SEA,away,MIA,MIA,48,44108,765,1665,1665,Half2,3,2,0.53125,MIA 48,1,(12:45) 32-C.Carson left end to MIA 46 for 2 yards (44-E.Roberts; 56-D.Godchaux). MIA-44-E.Roberts was injured during the play. His return is Probable.,E.Roberts,MIA-44,contact,upper body,tackler
2020_05_ARI_NYJ,NYJ,ARI,REG,5,ARI,away,NYJ,50,50,44115,175,1075,2875,Half1,1,2,0.121527778,MID 50,20,"(2:55) (Shotgun) 1-K.Murray pass short right to 29-C.Edmonds to NYJ 44 for 6 yards (91-J.Franklin-Myers, 34-B.Poole). NYJ-34-B.Poole was injured during the play.",B.Poole,NYJ-34,contact,head/neck,tackler
2020_05_ARI_NYJ,NYJ,ARI,REG,5,NYJ,home,ARI,ARI,37,44115,373,373,373,Half2,4,3,0.259027778,ARI 37,10,(6:13) (Shotgun) 5-J.Flacco pass short left to 15-C.Hogan to ARI 27 for 10 yards (20-D.Kirkpatrick). NYJ-15-C.Hogan was injured during the play.,C.Hogan,NYJ-15,contact,knee,ball carrier
2020_05_ARI_NYJ,NYJ,ARI,REG,5,ARI,away,NYJ,ARI,54,44115,822,1722,1722,Half2,3,1,0.570833333,ARI 46,10,"(13:42) (No Huddle, Shotgun) 41-K.Drake right end to ARI 49 for 3 yards (35-P.Desir). NYJ-95-Q.Williams was injured during the play.",Q.Williams,NYJ-95,contact,lower body,run defender
2020_05_ARI_NYJ,NYJ,ARI,REG,5,NYJ,home,ARI,NYJ,65,44115,720,720,720,Half2,4,2,0.5,NYJ 35,26,(12:00) (Shotgun) 21-F.Gore left guard to NYJ 34 for -1 yards (95-L.Fotu). ARI-92-R.Lawrence was injured during the play.,R.Lawrence,ARI-92,contact,lower body,run defender
2020_05_ARI_NYJ,NYJ,ARI,REG,5,ARI,away,NYJ,ARI,62,44115,751,1651,1651,Half2,3,3,0.521527778,ARI 38,18,(12:31) (Shotgun) 1-K.Murray pass short right to 11-L.Fitzgerald to ARI 45 for 7 yards (30-B.McDougald; 35-P.Desir). NYJ-91-J.Franklin-Myers was injured during the play.,J.Franklin-Myers,NYJ-91,non contact,lower body,pass rusher
2020_05_BUF_TEN,TEN,BUF,REG,5,BUF,away,TEN,TEN,46,44117,297,1197,1197,Half2,3,2,0.20625,TEN 46,3,"(4:57) (Shotgun) 17-J.Allen pass short left to 19-I.McKenzie to BUF 47 for -7 yards (21-M.Butler). TEN-91-L.Murchison was injured during the play. Penalty on BUF-26-D.Singletary, Illegal Block Above the Waist, declined.",L.Murchison,TEN-91,contact,ankle,AFP
2020_05_BUF_TEN,TEN,BUF,REG,5,BUF,away,TEN,BUF,65,44117,868,868,868,Half2,4,2,0.602777778,BUF 35,3,"(14:28) (Shotgun) 26-D.Singletary left tackle to BUF 37 for 2 yards (99-J.Clowney, 92-M.Dickerson). TEN-99-J.Clowney was injured during the play.",J.Clowney,TEN-99,contact,lower body,tackler
2020_05_BUF_TEN,TEN,BUF,REG,5,TEN,home,BUF,BUF,44,44117,602,1502,1502,Half2,3,3,0.418055556,BUF 44,4,(10:02) (Shotgun) 17-R.Tannehill pass incomplete short right to 86-A.Firkser (49-T.Edmunds). BUF-23-M.Hyde was injured during the play.,M.Hyde,BUF-23,non contact,knee,pass defender
2020_05_BUF_TEN,TEN,BUF,REG,5,TEN,home,BUF,BUF,35,44117,51,51,1851,Half1,2,2,0.035416667,BUF 35,4,(:51) (Shotgun) 17-R.Tannehill pass incomplete deep right to 86-A.Firkser. BUF-53-T.Dodson was injured during the play.,T.Dodson,BUF-53,non contact,lower body,pass defender
2020_05_CAR_ATL,ATL,CAR,REG,5,ATL,home,CAR,ATL,74,44115,331,331,2131,Half1,2,3,0.229861111,ATL 26,27,(5:31) (Shotgun) 2-M.Ryan pass short middle to 23-B.Hill to ATL 35 for 9 yards (53-B.Burns; 54-S.Thompson). CAR-53-B.Burns was injured during the play.,B.Burns,CAR-53,contact,head/neck,tackler
2020_05_CAR_ATL,ATL,CAR,REG,5,CAR,away,ATL,ATL,29,44115,41,41,1841,Half1,2,2,0.028472222,ATL 29,10,(:41) (Shotgun) 5-T.Bridgewater pass deep right to 11-R.Anderson to ATL 7 for 22 yards (26-I.Oliver). ATL-20-K.Sheffield was injured during the play.,K.Sheffield,ATL-20,non contact,ankle,pass defender
2020_05_CIN_BAL,BAL,CIN,REG,5,BAL,home,CIN,CIN,45,44115,551,1451,1451,Half2,3,1,0.382638889,CIN 45,10,(9:11) (Shotgun) 35-G.Edwards left guard to CIN 42 for 3 yards (98-D.Reader). CIN-98-D.Reader was injured during the play.,D.Reader,CIN-98,contact,knee,tackler
2020_05_IND_CLE,CLE,IND,REG,5,CLE,home,IND,CLE,57,44115,256,1156,2956,Half1,1,3,0.177777778,CLE 43,10,(4:16) (Shotgun) 6-B.Mayfield pass short middle to 81-A.Hooper to IND 46 for 11 yards (58-B.Okereke). CLE-77-W.Teller was injured during the play. His return is Probable.,W.Teller,CLE-77,contact,ankle,pass blocker
2020_05_IND_CLE,CLE,IND,REG,5,IND,away,CLE,CLE,27,44115,407,1307,1307,Half2,3,2,0.282638889,CLE 27,3,(6:47) 28-J.Taylor right guard to CLE 25 for 2 yards (93-B.Goodson; 95-M.Garrett). CLE-90-J.Elliott was injured during the play. His return is Questionable.,J.Elliott,CLE-90,contact,ankle,run defender
2020_05_IND_CLE,CLE,IND,REG,5,CLE,home,IND,CLE,63,44115,821,1721,3521,Half1,1,1,0.570138889,CLE 37,10,(13:41) 6-B.Mayfield pass deep right to 80-J.Landry to IND 31 for 32 yards (27-X.Rhodes; 44-Z.Franklin). CLE-80-J.Landry was injured during the play. His return is Probable.,J.Landry,CLE-80,contact,upper body,pass catcher
2020_05_IND_CLE,CLE,IND,REG,5,IND,away,CLE,CLE,48,44115,553,1453,1453,Half2,3,1,0.384027778,CLE 48,10,(9:13) (Shotgun) 21-N.Hines left tackle to CLE 43 for 5 yards (23-A.Sendejo). CLE-98-S.Richardson was injured during the play. His return is Probable.,S.Richardson,CLE-98,contact,upper body,tackler
2020_05_LAR_WAS,WAS,LAR,REG,5,WAS,home,LA,WAS,54,44115,693,1593,1593,Half2,3,3,0.48125,WAS 46,13,(11:33) (Shotgun) 11-A.Smith sacked at WAS 39 for -7 yards (99-A.Donald). LA-45-O.Okoronkwo was injured during the play.,O.Okoronkwo,LAR-45,contact,arm,pass rusher
2020_05_LAR_WAS,WAS,LAR,REG,5,WAS,home,LA,WAS,80,44115,141,141,1941,Half1,2,3,0.097916667,WAS 20,1,"(2:21) 8-K.Allen sacked at WAS 20 for 0 yards (20-J.Ramsey). WAS-8-K.Allen was injured during the play. His return is Questionable. PENALTY on LA-20-J.Ramsey, Lowering the Head to Initiate Contact, 15 yards, enforced at WAS 20 - No Play. 8 - Allen injured his arm",K.Allen,WAS-8,contact,head/neck,ball carrier
2020_05_LAC_NO,NO,LAC,REG,5,NO,home,LAC,LAC,47,44116,798,798,798,Half2,4,2,0.554166667,LAC 47,5,(13:18) (Shotgun) 41-A.Kamara right end to LAC 37 for 10 yards (26-C.Hayward Jr.). LAC-42-U.Nwosu was injured during the play. His return is Questionable.,U.Nwosu,LAC-42,contact,knee,run defender
2020_05_LAC_NO,NO,LAC,REG,5,LAC,away,NO,NO,47,44116,124,1024,1024,Half2,3,1,0.086111111,NO 47,10,"(2:04) 10-J.Herbert FUMBLES (Aborted) at NO 47, and recovers at NO 48. NO-21-P.Robinson was injured during the play. His return is Probable.",P.Robinson,NO-21,contact,lower body,run defender
